Designator,Mid X,Mid Y,Rotation,Layer
C1,82.02,-56.06,0.0,top
C2,48.75,-59.632323,270.0,top
D1,38.0,-43.5,270.0,top
J1,38.0,-64.0,0.0,top
J2,96.27,-69.0,270.0,top
J3,38.94,-32.885,90.0,top
J4,53.44,-32.885,90.0,top
J5,68.19,-32.885,90.0,top
J6,82.94,-32.885,90.0,top
J7,97.44,-32.885,90.0,top
Q1,46.21,-43.35,90.0,top
Q2,57.385,-61.52,270.0,top
R1,37.75,-52.0,90.0,top
R2,47.0,-66.25,180.0,top
R3,65.0,-61.75,180.0,top
R4,65.0,-66.0,180.0,top
SW1,98.55,-40.85,0.0,top
SW2,87.85,-40.85,0.0,top
U1,75.1573,-56.1615,270.0,top
U2,98.25,-56.1,270.0,top
